"node_id","truth_micro","truth_macro","modified_top","modified_final","modified_top_source","official_top","official_final"
1,2,1,1,1,"level_2",2,7
2,2,1,1,1,"level_2",2,7
3,5,1,1,2,"level_2",2,11
4,3,1,1,3,"level_2",2,8
5,4,1,1,4,"level_2",2,9
6,5,1,1,2,"level_2",2,11
7,2,1,1,1,"level_2",2,7
8,4,1,1,4,"level_2",2,9
9,4,1,1,4,"level_2",2,9
10,1,1,1,5,"level_2",2,10
11,1,1,1,5,"level_2",2,10
12,3,1,1,3,"level_2",2,8
13,5,1,1,2,"level_2",2,11
14,3,1,1,3,"level_2",2,8
15,5,1,1,2,"level_2",2,11
16,5,1,1,2,"level_2",2,11
17,3,1,1,3,"level_2",2,8
18,2,1,1,1,"level_2",2,7
19,4,1,1,4,"level_2",2,9
20,3,1,1,3,"level_2",2,8
21,2,1,1,1,"level_2",2,7
22,1,1,1,5,"level_2",2,10
23,1,1,1,5,"level_2",2,10
24,3,1,1,3,"level_2",2,8
25,4,1,1,4,"level_2",2,9
26,3,1,1,3,"level_2",2,8
27,2,1,1,1,"level_2",2,7
28,5,1,1,2,"level_2",2,11
29,4,1,1,4,"level_2",2,9
30,1,1,1,5,"level_2",2,10
31,3,1,1,3,"level_2",2,8
32,5,1,1,2,"level_2",2,11
33,4,1,1,4,"level_2",2,9
34,2,1,1,1,"level_2",2,7
35,3,1,1,3,"level_2",2,8
36,4,1,1,4,"level_2",2,9
37,1,1,1,5,"level_2",2,10
38,1,1,1,5,"level_2",2,10
39,2,1,1,1,"level_2",2,7
40,2,1,1,1,"level_2",2,7
41,2,1,1,1,"level_2",2,7
42,2,1,1,1,"level_2",2,7
43,5,1,1,2,"level_2",2,11
44,2,1,1,1,"level_2",2,7
45,1,1,1,5,"level_2",2,10
46,3,1,1,3,"level_2",2,8
47,1,1,1,5,"level_2",2,10
48,3,1,1,3,"level_2",2,8
49,2,1,1,1,"level_2",2,7
50,3,1,1,3,"level_2",2,8
51,1,1,1,5,"level_2",2,10
52,2,1,1,1,"level_2",2,7
53,1,1,1,5,"level_2",2,10
54,3,1,1,3,"level_2",2,8
55,1,1,1,5,"level_2",2,10
56,2,1,1,1,"level_2",2,7
57,4,1,1,4,"level_2",2,9
58,3,1,1,3,"level_2",2,8
59,5,1,1,2,"level_2",2,11
60,1,1,1,5,"level_2",2,10
61,3,1,1,3,"level_2",2,8
62,4,1,1,4,"level_2",2,9
63,3,1,1,3,"level_2",2,8
64,3,1,1,3,"level_2",2,8
65,1,1,1,5,"level_2",2,10
66,2,1,1,1,"level_2",2,7
67,4,1,1,4,"level_2",2,9
68,3,1,1,3,"level_2",2,8
69,2,1,1,1,"level_2",2,7
70,3,1,1,3,"level_2",2,8
71,1,1,1,5,"level_2",2,10
72,2,1,1,1,"level_2",2,7
73,4,1,1,4,"level_2",2,9
74,3,1,1,3,"level_2",2,8
75,4,1,1,4,"level_2",2,9
76,4,1,1,4,"level_2",2,9
77,3,1,1,3,"level_2",2,8
78,3,1,1,3,"level_2",2,8
79,4,1,1,4,"level_2",2,9
80,5,1,1,2,"level_2",2,11
81,4,1,1,4,"level_2",2,9
82,3,1,1,3,"level_2",2,8
83,2,1,1,1,"level_2",2,7
84,3,1,1,3,"level_2",2,8
85,3,1,1,3,"level_2",2,8
86,1,1,1,5,"level_2",2,10
87,5,1,1,2,"level_2",2,11
88,3,1,1,3,"level_2",2,8
89,3,1,1,3,"level_2",2,8
90,5,1,1,2,"level_2",2,11
91,1,1,1,5,"level_2",2,10
92,2,1,1,1,"level_2",2,7
93,3,1,1,3,"level_2",2,8
94,1,1,1,5,"level_2",2,10
95,1,1,1,5,"level_2",2,10
96,3,1,1,3,"level_2",2,8
97,2,1,1,1,"level_2",2,7
98,4,1,1,4,"level_2",2,9
99,5,1,1,2,"level_2",2,11
100,2,1,1,1,"level_2",2,7
101,2,1,1,1,"level_2",2,7
102,4,1,1,4,"level_2",2,9
103,2,1,1,1,"level_2",2,7
104,4,1,1,4,"level_2",2,9
105,3,1,1,3,"level_2",2,8
106,5,1,1,2,"level_2",2,11
107,1,1,1,5,"level_2",2,10
108,1,1,1,5,"level_2",2,10
109,5,1,1,2,"level_2",2,11
110,3,1,1,3,"level_2",2,8
111,1,1,1,5,"level_2",2,10
112,5,1,1,2,"level_2",2,11
113,3,1,1,3,"level_2",2,8
114,1,1,1,5,"level_2",2,10
115,4,1,1,4,"level_2",2,9
116,2,1,1,1,"level_2",2,7
117,2,1,1,1,"level_2",2,7
118,5,1,1,2,"level_2",2,11
119,3,1,1,3,"level_2",2,8
120,5,1,1,2,"level_2",2,11
121,1,1,1,5,"level_2",2,10
122,1,1,1,5,"level_2",2,10
123,5,1,1,2,"level_2",2,11
124,2,1,1,1,"level_2",2,7
125,3,1,1,3,"level_2",2,8
126,2,1,1,1,"level_2",2,7
127,4,1,1,4,"level_2",2,9
128,5,1,1,2,"level_2",2,11
129,4,1,1,4,"level_2",2,9
130,5,1,1,2,"level_2",2,11
131,5,1,1,2,"level_2",2,11
132,5,1,1,2,"level_2",2,11
133,3,1,1,3,"level_2",2,8
134,4,1,1,4,"level_2",2,9
135,1,1,1,5,"level_2",2,10
136,4,1,1,4,"level_2",2,9
137,3,1,1,3,"level_2",2,8
138,5,1,1,2,"level_2",2,11
139,5,1,1,2,"level_2",2,11
140,3,1,1,3,"level_2",2,8
141,3,1,1,3,"level_2",2,8
142,4,1,1,4,"level_2",2,9
143,1,1,1,5,"level_2",2,10
144,4,1,1,4,"level_2",2,9
145,3,1,1,3,"level_2",2,8
146,3,1,1,3,"level_2",2,8
147,1,1,1,5,"level_2",2,10
148,2,1,1,1,"level_2",2,7
