"node_id","truth_micro","truth_macro","modified_top","modified_final","modified_top_source","official_top","official_final"
1,2,1,1,1,"level_2",1,1
2,2,1,1,1,"level_2",1,1
3,5,1,1,1,"level_2",1,1
4,3,1,1,1,"level_2",1,1
5,4,1,1,1,"level_2",1,1
6,5,1,1,1,"level_2",1,1
7,2,1,1,1,"level_2",1,1
8,4,1,1,1,"level_2",1,1
9,4,1,1,1,"level_2",1,1
10,1,1,1,1,"level_2",1,1
11,1,1,1,1,"level_2",1,1
12,3,1,1,1,"level_2",1,1
13,5,1,1,1,"level_2",1,1
14,3,1,1,1,"level_2",1,1
15,5,1,1,1,"level_2",1,1
16,5,1,1,1,"level_2",1,1
17,3,1,1,1,"level_2",1,1
18,2,1,1,1,"level_2",1,1
19,4,1,1,1,"level_2",1,1
20,3,1,1,1,"level_2",1,1
21,2,1,1,1,"level_2",1,1
22,1,1,1,1,"level_2",1,1
23,1,1,1,1,"level_2",1,1
24,3,1,1,1,"level_2",1,1
25,4,1,1,1,"level_2",1,1
26,3,1,1,1,"level_2",1,1
27,2,1,1,1,"level_2",1,1
28,5,1,1,1,"level_2",1,1
29,4,1,1,1,"level_2",1,1
30,1,1,1,1,"level_2",1,1
31,3,1,1,1,"level_2",1,1
32,5,1,1,1,"level_2",1,1
33,4,1,1,1,"level_2",1,1
34,2,1,1,1,"level_2",1,1
35,3,1,1,1,"level_2",1,1
36,4,1,1,1,"level_2",1,1
37,1,1,1,1,"level_2",1,1
38,1,1,1,1,"level_2",1,1
39,2,1,1,1,"level_2",1,1
40,2,1,1,1,"level_2",1,1
41,2,1,1,1,"level_2",1,1
42,2,1,1,1,"level_2",1,1
43,5,1,1,1,"level_2",1,1
44,2,1,1,1,"level_2",1,1
45,1,1,1,1,"level_2",1,1
46,3,1,1,1,"level_2",1,1
47,1,1,1,1,"level_2",1,1
48,3,1,1,1,"level_2",1,1
49,2,1,1,1,"level_2",1,1
50,3,1,1,1,"level_2",1,1
51,1,1,1,1,"level_2",1,1
52,2,1,1,1,"level_2",1,1
53,1,1,1,1,"level_2",1,1
54,3,1,1,1,"level_2",1,1
55,1,1,1,1,"level_2",1,1
56,2,1,1,1,"level_2",1,1
57,4,1,1,1,"level_2",1,1
58,3,1,1,1,"level_2",1,1
59,5,1,1,1,"level_2",1,1
60,1,1,1,1,"level_2",1,1
61,3,1,1,1,"level_2",1,1
62,4,1,1,1,"level_2",1,1
63,3,1,1,1,"level_2",1,1
64,3,1,1,1,"level_2",1,1
65,1,1,1,1,"level_2",1,1
66,2,1,1,1,"level_2",1,1
67,4,1,1,1,"level_2",1,1
68,3,1,1,1,"level_2",1,1
69,2,1,1,1,"level_2",1,1
70,3,1,1,1,"level_2",1,1
71,1,1,1,1,"level_2",1,1
72,2,1,1,1,"level_2",1,1
73,4,1,1,1,"level_2",1,1
74,3,1,1,1,"level_2",1,1
75,4,1,1,1,"level_2",1,1
76,4,1,1,1,"level_2",1,1
77,3,1,1,1,"level_2",1,1
78,3,1,1,1,"level_2",1,1
79,4,1,1,1,"level_2",1,1
80,5,1,1,1,"level_2",1,1
81,4,1,1,1,"level_2",1,1
82,3,1,1,1,"level_2",1,1
83,2,1,1,1,"level_2",1,1
84,3,1,1,1,"level_2",1,1
85,3,1,1,1,"level_2",1,1
86,1,1,1,1,"level_2",1,1
87,5,1,1,1,"level_2",1,1
88,3,1,1,1,"level_2",1,1
89,3,1,1,1,"level_2",1,1
90,5,1,1,1,"level_2",1,1
91,1,1,1,1,"level_2",1,1
92,2,1,1,1,"level_2",1,1
93,3,1,1,1,"level_2",1,1
94,1,1,1,1,"level_2",1,1
95,1,1,1,1,"level_2",1,1
96,3,1,1,1,"level_2",1,1
97,2,1,1,1,"level_2",1,1
98,4,1,1,1,"level_2",1,1
99,5,1,1,1,"level_2",1,1
100,2,1,1,1,"level_2",1,1
101,2,1,1,1,"level_2",1,1
102,4,1,1,1,"level_2",1,1
103,2,1,1,1,"level_2",1,1
104,4,1,1,1,"level_2",1,1
105,3,1,1,1,"level_2",1,1
106,5,1,1,1,"level_2",1,1
107,1,1,1,1,"level_2",1,1
108,1,1,1,1,"level_2",1,1
109,5,1,1,1,"level_2",1,1
110,3,1,1,1,"level_2",1,1
111,1,1,1,1,"level_2",1,1
112,5,1,1,1,"level_2",1,1
113,3,1,1,1,"level_2",1,1
114,1,1,1,1,"level_2",1,1
115,4,1,1,1,"level_2",1,1
116,2,1,1,1,"level_2",1,1
117,2,1,1,1,"level_2",1,1
118,5,1,1,1,"level_2",1,1
119,3,1,1,1,"level_2",1,1
120,5,1,1,1,"level_2",1,1
121,1,1,1,1,"level_2",1,1
122,1,1,1,1,"level_2",1,1
123,5,1,1,1,"level_2",1,1
124,2,1,1,1,"level_2",1,1
125,3,1,1,1,"level_2",1,1
126,2,1,1,1,"level_2",1,1
127,4,1,1,1,"level_2",1,1
128,5,1,1,1,"level_2",1,1
129,4,1,1,1,"level_2",1,1
130,5,1,1,1,"level_2",1,1
131,5,1,1,1,"level_2",1,1
132,5,1,1,1,"level_2",1,1
133,3,1,1,1,"level_2",1,1
134,4,1,1,1,"level_2",1,1
135,1,1,1,1,"level_2",1,1
136,4,1,1,1,"level_2",1,1
137,3,1,1,1,"level_2",1,1
138,5,1,1,1,"level_2",1,1
139,5,1,1,1,"level_2",1,1
140,3,1,1,1,"level_2",1,1
141,3,1,1,1,"level_2",1,1
142,4,1,1,1,"level_2",1,1
143,1,1,1,1,"level_2",1,1
144,4,1,1,1,"level_2",1,1
145,3,1,1,1,"level_2",1,1
146,3,1,1,1,"level_2",1,1
147,1,1,1,1,"level_2",1,1
148,2,1,1,1,"level_2",1,1
149,1,1,1,1,"level_2",1,1
150,1,1,1,1,"level_2",1,1
151,5,1,1,1,"level_2",1,1
152,2,1,1,1,"level_2",1,1
153,3,1,1,1,"level_2",1,1
154,3,1,1,1,"level_2",1,1
155,1,1,1,1,"level_2",1,1
156,3,1,1,1,"level_2",1,1
157,3,1,1,1,"level_2",1,1
158,2,1,1,1,"level_2",1,1
159,1,1,1,1,"level_2",1,1
160,2,1,1,1,"level_2",1,1
161,4,1,1,1,"level_2",1,1
162,5,1,1,1,"level_2",1,1
163,5,1,1,1,"level_2",1,1
164,1,1,1,1,"level_2",1,1
165,3,1,1,1,"level_2",1,1
166,2,1,1,1,"level_2",1,1
167,4,1,1,1,"level_2",1,1
168,4,1,1,1,"level_2",1,1
169,1,1,1,1,"level_2",1,1
170,4,1,1,1,"level_2",1,1
