"node_id","level_1","level_2","level_3"
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,1
56,1,1,1
57,1,1,1
58,1,1,1
59,1,1,1
60,1,1,1
61,1,1,1
62,1,1,1
63,1,1,1
64,1,1,1
65,1,1,1
66,1,1,1
67,1,1,1
68,1,1,1
69,1,1,1
70,1,1,1
71,1,1,1
72,1,1,1
73,1,1,1
74,1,1,1
75,1,1,1
76,1,1,1
77,1,1,1
78,1,1,1
79,1,1,1
80,1,1,1
81,1,1,1
82,1,1,1
83,1,1,1
84,1,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,1,1,1
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,1,1,1
99,1,1,1
100,1,1,1
101,1,1,1
102,1,1,1
103,1,1,1
104,1,1,1
105,1,1,1
106,1,1,1
107,1,1,1
108,1,1,1
109,1,1,1
110,1,1,1
111,1,1,1
112,1,1,1
113,1,1,1
114,1,1,1
115,1,1,1
116,1,1,1
117,1,1,1
118,1,1,1
119,1,1,1
120,1,1,1
121,1,2,2
122,1,2,2
123,1,2,2
124,1,2,2
125,1,2,2
126,1,2,2
127,1,2,2
128,1,2,2
129,1,2,2
130,1,2,2
131,1,2,2
132,1,2,2
133,1,2,2
134,1,2,2
135,1,2,2
136,1,2,2
137,1,2,2
138,1,2,2
139,1,2,2
140,1,2,2
141,1,2,2
142,1,2,2
143,1,2,2
144,1,2,2
145,1,2,2
146,1,2,2
147,1,2,2
148,1,2,2
149,1,2,2
150,1,2,2
151,1,2,2
152,1,2,2
153,1,2,2
154,1,2,2
155,1,2,2
156,1,2,2
157,1,2,2
158,1,2,2
159,1,2,2
160,1,2,2
161,1,2,2
162,1,2,2
163,1,2,2
164,1,2,2
165,1,2,2
166,1,2,2
167,1,2,2
168,1,2,2
169,1,2,2
170,1,2,2
171,1,2,2
172,1,2,2
173,1,2,2
174,1,2,2
175,1,2,2
176,1,2,2
177,1,2,2
178,1,2,2
179,1,3,3
180,1,3,3
181,1,3,3
182,1,3,3
183,1,3,3
184,1,3,3
185,1,3,3
186,1,3,3
187,1,3,3
188,1,3,3
189,1,3,3
190,1,3,3
191,1,3,3
192,1,3,3
193,1,3,3
194,1,3,3
195,1,3,3
196,1,3,3
197,1,3,3
198,1,3,3
199,1,3,3
200,1,3,3
201,1,3,3
202,1,3,3
203,1,3,3
204,1,3,3
205,1,3,3
206,1,3,3
207,1,3,3
208,1,3,3
209,1,3,3
210,1,3,3
211,1,3,3
212,1,3,3
213,1,3,3
214,1,3,3
215,1,3,3
216,1,3,3
217,1,3,3
218,1,3,3
219,1,3,3
220,1,3,3
221,1,3,3
222,1,3,3
223,1,3,3
224,1,3,3
225,1,3,3
226,1,3,3
227,1,3,3
228,1,3,3
229,1,3,3
230,1,3,3
231,1,4,4
232,1,4,4
233,1,4,4
234,1,4,4
235,1,4,4
236,1,4,4
237,1,4,4
238,1,4,4
239,1,4,4
240,1,4,4
241,1,4,4
242,1,4,4
243,1,4,4
244,1,4,4
245,1,4,4
246,1,4,4
247,1,4,4
248,1,4,4
249,1,5,5
250,1,5,5
251,1,5,5
252,1,5,5
253,1,5,5
254,1,5,5
255,1,5,5
256,1,5,5
257,1,5,5
258,1,5,5
259,1,5,5
