"node_id","top_modificado","final_modificado","top_oficial","final_oficial"
1,1,1,1,3
2,1,1,1,3
3,2,2,5,158
4,3,3,7,179
5,3,4,2,43
6,3,5,4,142
7,3,5,4,142
8,4,6,12,235
9,5,7,9,209
10,3,8,2,62
11,3,4,2,43
12,1,1,1,3
13,4,9,12,233
14,2,10,5,160
15,3,11,1,1
16,3,12,2,55
17,3,13,1,4
18,5,14,3,110
19,6,15,9,207
20,5,16,3,127
21,3,11,1,6
22,3,11,1,1
23,7,17,3,101
24,3,11,1,1
25,4,9,12,233
26,1,18,1,2
27,1,18,1,2
28,3,5,4,142
29,3,5,4,142
30,1,18,1,2
31,3,13,1,4
32,3,12,2,55
33,3,19,2,68
34,2,10,5,160
35,3,11,1,12
36,1,18,1,2
37,1,18,1,2
38,1,18,1,2
39,3,20,2,45
40,3,11,1,1
41,4,6,12,235
42,1,18,1,2
43,1,18,1,2
44,3,21,2,40
45,3,5,4,142
46,1,1,1,3
47,1,18,1,2
48,3,22,4,150
49,1,18,1,2
50,2,23,5,161
51,8,24,8,186
52,7,25,3,122
53,1,18,1,2
54,9,26,9,210
55,3,11,1,1
56,3,8,2,62
57,1,18,1,2
58,1,1,1,3
59,1,27,1,15
60,10,28,10,222
61,3,29,7,184
62,2,2,5,158
63,1,1,1,3
64,3,11,1,1
65,2,23,5,161
66,7,17,3,101
67,2,2,5,158
68,5,30,3,111
69,3,11,1,1
70,2,31,5,162
71,1,18,1,2
72,1,32,1,25
73,8,24,8,186
74,10,33,10,223
75,11,34,6,170
76,2,23,5,161
77,6,35,9,219
78,5,36,3,108
79,1,1,1,3
80,2,23,5,161
81,8,24,8,186
82,1,37,1,14
83,10,28,10,222
84,7,25,3,122
85,1,18,1,2
86,3,38,2,52
87,7,39,3,103
88,1,32,1,25
89,1,18,1,2
90,4,9,12,233
91,1,18,1,2
92,3,40,4,146
93,1,18,1,2
94,2,23,5,161
95,1,1,1,3
96,3,41,1,9
97,5,36,3,108
98,7,39,3,103
99,6,15,9,207
100,2,23,5,161
101,1,27,1,15
102,2,10,5,160
103,3,42,2,77
104,3,5,4,143
105,9,43,8,188
106,3,11,1,1
107,3,11,1,1
108,3,11,1,1
109,3,11,1,1
110,3,11,1,1
111,4,6,12,235
112,3,11,1,1
113,3,11,1,1
114,3,44,2,60
