"node_id","top_modificado","final_modificado","top_oficial","final_oficial"
1,1,1,3,87
2,1,1,3,87
3,2,2,3,88
4,3,3,1,11
5,3,4,1,10
6,3,5,1,1
7,3,5,1,1
8,4,6,11,234
9,5,7,6,177
10,3,8,1,37
11,3,4,1,10
12,1,1,3,87
13,4,9,11,232
14,2,10,3,98
15,3,11,2,70
16,3,12,1,27
17,3,13,1,6
18,6,14,4,130
19,7,15,8,201
20,6,16,4,148
21,3,11,2,73
22,3,11,2,70
23,8,17,4,121
24,3,11,2,70
25,4,9,11,232
26,1,18,3,86
27,1,18,3,86
28,3,5,1,1
29,3,5,1,1
30,1,18,3,86
31,3,13,1,6
32,3,12,1,27
33,3,19,2,80
34,2,10,3,98
35,3,11,2,72
36,1,18,3,86
37,1,18,3,86
38,1,18,3,86
39,3,20,1,17
40,3,11,2,70
41,4,6,11,234
42,1,18,3,86
43,1,18,3,86
44,3,21,1,7
45,3,5,1,1
46,1,1,3,87
47,1,18,3,86
48,2,22,3,103
49,1,18,3,86
50,2,23,3,99
51,9,24,9,213
52,8,25,4,142
53,1,18,3,86
54,5,26,6,180
55,3,11,2,70
56,3,8,1,37
57,1,18,3,86
58,1,1,3,87
59,1,27,3,105
60,10,28,7,194
61,3,29,1,56
62,2,2,3,88
63,1,1,3,87
64,3,11,2,70
65,2,23,3,99
66,8,17,4,121
67,2,2,3,88
68,6,30,4,129
69,3,11,2,70
70,2,31,3,108
71,1,18,3,86
72,1,32,3,111
73,9,24,9,213
74,10,33,7,195
75,11,34,5,166
76,2,23,3,99
77,7,35,8,209
78,6,36,4,127
79,1,1,3,87
80,2,23,3,99
81,9,24,9,213
82,1,37,3,106
83,10,28,7,194
84,8,25,4,142
85,1,18,3,86
86,3,38,1,14
87,8,39,4,123
88,1,32,3,111
89,1,18,3,86
90,4,9,11,232
91,1,18,3,86
92,3,40,1,38
93,1,18,3,86
94,2,23,3,99
95,1,1,3,87
96,3,41,2,74
97,6,36,4,127
98,8,39,4,123
99,7,15,8,201
100,2,23,3,99
101,1,27,3,105
102,2,10,3,98
103,3,42,1,48
104,3,5,1,2
105,12,43,6,177
106,3,11,2,70
107,3,11,2,70
108,3,11,2,70
109,3,11,2,70
110,3,11,2,70
111,4,6,11,234
112,3,11,2,70
113,3,11,2,70
114,3,44,1,33
115,3,11,2,70
116,3,11,2,70
117,3,11,2,70
118,8,45,4,132
119,3,11,2,70
120,3,11,2,70
121,3,46,1,35
122,3,46,1,35
123,3,11,2,70
124,3,11,2,70
125,3,11,2,70
126,11,34,5,166
127,3,3,1,11
128,3,11,2,70
129,3,47,1,4
130,5,26,6,180
131,3,4,1,10
132,3,48,1,9
133,3,11,2,70
134,3,3,1,11
135,3,11,2,70
136,3,11,2,70
137,3,48,1,9
138,12,49,1,51
139,3,48,1,9
140,11,34,5,166
141,13,50,3,93
142,3,3,1,23
143,3,11,2,70
144,1,51,3,100
145,2,2,3,88
146,8,52,4,136
147,3,3,1,23
148,3,47,1,8
149,8,52,4,136
150,3,53,2,77
151,1,54,3,114
152,3,47,1,4
153,1,18,3,86
154,1,1,3,87
155,6,16,4,150
156,3,11,2,70
157,3,48,1,9
158,2,2,3,88
159,3,5,1,1
160,1,18,3,86
161,5,26,6,180
162,3,5,1,1
163,2,2,3,89
164,3,48,1,9
165,3,21,1,7
166,6,16,4,149
167,3,55,1,28
168,3,56,1,19
169,3,57,1,44
170,1,18,3,86
171,3,5,1,1
172,3,5,1,1
173,3,13,1,6
174,10,28,7,194
175,6,14,4,130
176,3,11,3,100
177,12,58,4,151
178,2,2,3,88
179,11,34,5,166
180,3,5,1,1
181,3,13,1,6
182,1,1,3,87
183,3,57,1,44
184,3,20,1,17
185,3,55,1,28
186,11,59,5,165
187,3,4,1,10
188,3,3,1,11
189,1,18,3,86
190,1,18,3,86
191,3,13,1,6
192,1,18,3,86
193,3,5,1,1
194,3,3,1,11
195,3,21,1,7
196,3,3,1,11
197,3,5,1,1
198,3,21,1,7
199,3,13,1,6
200,3,12,1,27
201,3,60,1,13
202,3,11,2,72
203,3,44,1,33
204,3,21,1,7
205,14,61,5,167
206,10,28,7,194
207,4,6,11,234
208,3,3,1,11
209,3,12,1,27
210,11,59,5,165
211,3,8,1,37
212,8,17,4,121
213,3,5,1,1
214,2,2,3,88
215,15,62,4,138
216,2,2,3,88
217,1,1,3,87
218,10,28,7,194
219,8,63,4,126
220,1,1,3,87
221,8,64,4,156
222,2,2,3,89
223,1,18,3,86
224,3,20,1,17
225,8,17,4,121
226,2,65,3,107
227,2,22,3,104
228,14,61,5,167
229,2,2,3,89
230,3,11,2,70
231,15,62,4,140
232,8,63,4,126
233,3,21,1,7
234,3,66,1,52
235,3,5,1,2
236,3,12,1,27
237,3,13,1,6
238,11,59,5,165
239,2,22,3,103
240,2,22,3,102
241,1,1,3,87
242,8,17,4,121
243,1,1,3,87
244,3,5,1,1
245,14,61,5,167
246,3,67,1,66
247,3,5,1,2
248,8,63,4,126
249,1,18,3,86
250,3,12,1,27
251,3,5,1,2
252,3,20,1,17
253,1,1,3,87
254,11,59,5,165
255,13,68,8,205
256,13,50,3,92
257,1,1,3,87
258,3,13,1,6
259,3,69,1,25
260,1,27,3,105
261,14,61,5,167
262,10,28,7,194
