"node_id","top_modificado","final_modificado","top_oficial","final_oficial"
1,1,1,1,3
2,1,1,1,3
3,2,2,3,89
4,3,3,7,174
5,3,4,2,38
6,3,5,5,149
7,3,5,5,149
8,4,6,13,234
9,5,7,10,198
10,3,8,2,57
11,3,4,2,38
12,1,1,1,3
13,4,9,13,232
14,2,10,3,92
15,3,11,1,1
16,3,12,3,91
17,1,13,1,4
18,5,14,4,122
19,6,15,9,188
20,5,16,4,134
21,3,11,1,6
22,3,11,1,1
23,7,17,4,112
24,3,11,1,1
25,4,9,13,232
26,1,18,1,2
27,1,18,1,2
28,3,5,5,149
29,3,5,5,149
30,1,18,1,2
31,1,13,1,4
32,3,12,3,91
33,3,19,2,66
34,2,10,3,92
35,3,11,1,10
36,1,18,1,2
37,1,18,1,2
38,1,18,1,2
39,3,20,2,45
40,3,11,1,1
41,4,6,13,234
42,1,18,1,2
43,1,18,1,2
44,3,21,2,37
45,3,5,5,149
46,1,1,1,3
47,1,18,1,2
48,2,22,5,157
49,1,18,1,2
50,2,23,3,93
51,8,24,11,213
52,7,25,4,133
53,1,18,1,2
54,9,26,10,199
55,3,11,1,1
56,3,8,2,57
57,1,18,1,2
58,1,1,1,3
59,1,27,1,14
60,10,28,8,181
61,11,29,7,179
62,2,2,3,89
63,1,1,1,3
64,3,11,1,1
65,2,23,3,93
66,7,17,4,112
67,2,2,3,89
68,5,30,4,121
69,3,11,1,1
70,2,31,3,95
71,1,18,1,2
72,1,32,1,24
73,8,24,11,213
74,10,33,8,182
75,12,34,6,165
76,2,23,3,93
77,6,35,9,194
78,5,36,4,120
79,1,1,1,3
80,2,23,3,93
81,8,24,11,213
82,1,37,1,13
83,10,28,8,181
84,7,25,4,133
85,1,18,1,2
86,3,38,2,44
87,7,39,4,113
88,1,32,1,24
89,1,18,1,2
90,4,9,13,232
91,1,18,1,2
92,3,40,5,154
93,1,18,1,2
94,2,23,3,93
95,1,1,1,3
96,3,41,1,8
97,5,36,4,120
98,7,39,4,113
99,6,15,9,188
100,2,23,3,93
101,1,27,1,14
102,2,10,3,92
103,3,42,2,72
104,3,5,5,150
105,9,43,10,197
106,3,11,1,1
107,3,11,1,1
108,3,11,1,1
109,3,11,1,1
110,3,11,1,1
111,4,6,13,234
112,3,11,1,1
113,3,11,1,1
114,3,44,2,54
