"node_id","top_modificado","final_modificado","top_oficial","final_oficial"
1,1,1,1,3
2,1,1,1,3
3,2,2,4,140
4,3,3,6,168
5,3,4,2,44
6,3,5,2,35
7,3,5,2,35
8,4,6,12,232
9,5,7,7,176
10,3,8,2,64
11,3,4,2,44
12,1,1,1,3
13,4,9,12,230
14,2,10,4,142
15,3,11,1,1
16,3,12,2,50
17,1,13,2,40
18,5,14,3,114
19,6,15,7,175
20,5,16,3,125
21,3,11,1,5
22,3,11,1,1
23,7,17,3,103
24,3,11,1,1
25,4,9,12,230
26,1,18,1,2
27,1,18,1,2
28,3,5,2,35
29,3,5,2,35
30,1,18,1,2
31,1,13,2,40
32,3,12,2,50
33,3,19,2,71
34,2,10,4,142
35,3,11,1,11
36,1,18,1,2
37,1,18,1,2
38,1,18,1,2
39,3,20,2,49
40,3,11,1,1
41,4,6,12,232
42,1,18,1,2
43,1,18,1,2
44,3,21,2,41
45,3,5,2,35
46,1,1,1,3
47,1,18,1,2
48,2,22,4,146
49,1,18,1,2
50,2,23,4,143
51,8,24,10,215
52,7,25,3,123
53,1,18,1,2
54,9,26,9,202
55,3,11,1,1
56,3,8,2,64
57,1,18,1,2
58,1,1,1,3
59,1,27,1,14
60,10,28,8,192
61,11,29,6,171
62,2,2,4,140
63,1,1,1,3
64,3,11,1,1
65,2,23,4,143
66,7,17,3,103
67,2,2,4,140
68,5,30,3,115
69,3,11,1,1
70,2,31,4,148
71,1,18,1,2
72,1,32,1,24
73,8,24,10,215
74,10,33,8,194
75,12,34,5,159
76,2,23,4,143
77,6,35,7,188
78,5,36,3,113
79,1,1,1,3
80,2,23,4,143
81,8,24,10,215
82,1,37,1,13
83,10,28,8,192
84,7,25,3,123
85,1,18,1,2
86,3,38,2,55
87,7,39,3,105
88,1,32,1,24
89,1,18,1,2
90,4,9,12,230
91,1,18,1,2
92,3,40,2,66
93,1,18,1,2
94,2,23,4,143
95,1,1,1,3
96,3,41,1,7
97,5,36,3,113
98,7,39,3,105
99,6,15,7,175
100,2,23,4,143
101,1,27,1,14
102,2,10,4,142
103,3,42,2,80
104,3,5,2,36
105,9,43,9,200
106,3,11,1,1
107,3,11,1,1
108,3,11,1,1
109,3,11,1,1
110,3,11,1,1
111,4,6,12,232
112,3,11,1,1
113,3,11,1,1
114,3,44,2,61
