"node_id","top_modificado","final_modificado","top_oficial","final_oficial"
1,1,1,1,3
2,1,1,1,3
3,2,2,3,88
4,3,3,7,178
5,3,4,2,42
6,3,5,5,156
7,3,5,5,156
8,4,6,13,242
9,5,7,8,198
10,3,8,2,73
11,3,4,2,42
12,1,1,1,3
13,4,9,13,240
14,2,10,3,94
15,3,11,1,1
16,3,12,3,92
17,3,13,1,4
18,5,14,4,121
19,6,15,8,186
20,5,16,4,141
21,3,11,1,6
22,3,11,1,1
23,7,17,4,112
24,3,11,1,1
25,4,9,13,240
26,1,18,1,2
27,1,18,1,2
28,3,5,5,156
29,3,5,5,156
30,1,18,1,2
31,3,13,1,4
32,3,12,3,92
33,3,19,2,66
34,2,10,3,94
35,3,11,1,11
36,1,18,1,2
37,1,18,1,2
38,1,18,1,2
39,3,20,2,45
40,3,11,1,1
41,4,6,13,242
42,1,18,1,2
43,1,18,1,2
44,3,21,2,39
45,3,5,5,156
46,1,1,1,3
47,1,18,1,2
48,2,22,3,97
49,1,18,1,2
50,2,23,3,93
51,8,24,11,221
52,7,25,4,136
53,1,18,1,2
54,9,26,10,209
55,3,11,1,1
56,3,8,2,73
57,1,18,1,2
58,1,1,1,3
59,1,27,1,13
60,10,28,9,202
61,3,29,7,183
62,2,2,3,88
63,1,1,1,3
64,3,11,1,1
65,2,23,3,93
66,7,17,4,112
67,2,2,3,88
68,5,30,4,123
69,3,11,1,1
70,2,31,3,100
71,1,18,1,2
72,1,32,1,25
73,8,24,11,221
74,10,33,9,203
75,11,34,6,169
76,2,23,3,93
77,6,35,8,199
78,5,36,2,68
79,1,1,1,3
80,2,23,3,93
81,8,24,11,221
82,1,37,1,12
83,10,28,9,202
84,7,25,4,136
85,1,18,1,2
86,3,38,2,53
87,7,39,4,113
88,1,32,1,25
89,1,18,1,2
90,4,9,13,240
91,1,18,1,2
92,3,40,5,161
93,1,18,1,2
94,2,23,3,93
95,1,1,1,3
96,3,41,1,9
97,5,36,2,68
98,7,39,4,113
99,6,15,8,186
100,2,23,3,93
101,1,27,1,13
102,2,10,3,94
103,3,42,2,79
104,3,5,5,157
105,9,43,10,208
106,3,11,1,1
107,3,11,1,1
108,3,11,1,1
109,3,11,1,1
110,3,11,1,1
111,4,6,13,242
112,3,11,1,1
113,3,11,1,1
114,3,44,2,56
