"node_id","top_modificado","final_modificado","top_oficial","final_oficial"
1,1,1,3,89
2,1,1,3,89
3,2,2,3,90
4,3,3,1,9
5,3,4,1,11
6,3,5,1,1
7,3,5,1,1
8,4,6,10,229
9,5,7,7,199
10,3,8,1,36
11,3,4,1,11
12,1,1,3,89
13,4,9,10,227
14,2,10,3,94
15,3,11,2,72
16,3,12,1,28
17,3,13,1,5
18,5,14,4,130
19,6,15,7,187
20,5,16,4,145
21,3,11,2,75
22,3,11,2,72
23,7,17,4,118
24,3,11,2,72
25,4,9,10,227
26,1,18,3,88
27,1,18,3,88
28,3,5,1,1
29,3,5,1,1
30,1,18,3,88
31,3,13,1,5
32,3,12,1,28
33,3,19,1,41
34,2,10,3,94
35,3,11,2,74
36,1,18,3,88
37,1,18,3,88
38,1,18,3,88
39,3,20,1,13
40,3,11,2,72
41,4,6,10,229
42,1,18,3,88
43,1,18,3,88
44,3,21,1,8
45,3,5,1,1
46,1,1,3,89
47,1,18,3,88
48,2,22,3,99
49,1,18,3,88
50,2,23,3,95
51,8,24,8,203
52,7,25,4,141
53,1,18,3,88
54,9,26,7,188
55,3,11,2,72
56,3,8,1,36
57,1,18,3,88
58,1,1,3,89
59,1,27,3,101
60,10,28,6,174
61,3,29,1,62
62,2,2,3,90
63,1,1,3,89
64,3,11,2,72
65,2,23,3,95
66,7,17,4,118
67,2,2,3,90
68,5,30,4,132
69,3,11,2,72
70,2,31,3,103
71,1,18,3,88
72,1,32,3,107
73,8,24,8,203
74,10,33,6,177
75,11,34,5,164
76,2,23,3,95
77,6,35,7,200
78,5,36,4,129
79,1,1,3,89
80,2,23,3,95
81,8,24,8,203
82,1,37,3,97
83,10,28,6,174
84,7,25,4,141
85,1,18,3,88
86,3,38,1,20
87,7,39,4,120
88,1,32,3,107
89,1,18,3,88
90,4,9,10,227
91,1,18,3,88
92,3,40,1,38
93,1,18,3,88
94,2,23,3,95
95,1,1,3,89
96,3,41,2,76
97,5,36,4,129
98,7,39,4,120
99,6,15,7,187
100,2,23,3,95
101,1,27,3,101
102,2,10,3,94
103,3,42,1,52
104,3,5,1,2
105,9,43,8,205
106,3,11,2,72
107,3,11,2,72
108,3,11,2,72
109,3,11,2,72
110,3,11,2,72
111,4,6,10,229
112,3,11,2,72
113,3,11,2,72
114,3,44,1,33
115,3,11,2,72
116,3,11,2,72
117,3,11,2,72
118,7,45,4,125
119,3,11,2,72
120,3,11,2,72
121,3,46,1,35
122,3,46,1,35
123,3,11,2,72
124,3,11,2,72
125,3,11,2,72
126,11,34,5,164
127,3,3,1,9
128,3,11,2,72
129,3,47,1,7
130,9,26,7,188
131,3,4,1,11
132,3,48,1,6
133,3,11,2,72
134,3,3,1,9
135,3,11,2,72
136,3,11,2,72
137,3,48,1,6
138,10,49,1,56
139,3,48,1,6
140,11,34,5,164
141,12,50,6,182
142,3,3,1,23
143,3,11,2,72
144,1,51,3,109
145,2,2,3,90
146,7,52,4,135
147,3,3,1,23
148,3,53,1,32
149,7,52,4,135
150,3,54,2,80
151,1,55,3,111
152,3,47,1,7
153,1,18,3,88
154,1,1,3,89
155,5,16,4,147
156,3,11,2,72
157,3,48,1,6
158,2,2,3,90
159,3,5,1,1
160,1,18,3,88
161,9,26,7,188
162,3,5,1,1
163,2,2,3,91
164,3,48,1,6
165,3,21,1,8
166,5,16,4,146
167,3,56,1,29
168,3,57,1,22
169,3,19,1,41
170,1,18,3,88
171,3,5,1,1
172,3,5,1,1
173,3,13,1,5
174,10,28,6,174
175,5,14,4,130
176,3,11,2,78
177,7,58,4,148
178,2,2,3,90
179,11,34,5,164
180,3,5,1,1
181,3,13,1,5
182,1,1,3,89
183,3,19,1,41
184,3,20,1,13
185,3,56,1,29
186,11,59,5,163
187,3,4,1,11
188,3,3,1,9
189,1,18,3,88
190,1,18,3,88
191,3,13,1,5
192,1,18,3,88
193,3,5,1,1
194,3,3,1,9
195,3,21,1,8
196,3,3,1,9
197,3,5,1,1
198,3,21,1,8
199,3,13,1,5
200,3,12,1,28
201,3,60,1,14
202,3,11,2,74
203,3,44,1,33
204,3,21,1,8
205,13,61,5,165
206,10,28,6,174
207,4,6,10,229
