"node_id","top_modificado","final_modificado","top_oficial","final_oficial"
1,1,1,1,3
2,1,1,1,3
3,2,2,4,128
4,3,3,2,37
5,3,4,2,38
6,3,5,5,143
7,3,5,5,143
8,4,6,13,237
9,5,7,7,175
10,3,8,2,63
11,3,4,2,38
12,1,1,1,3
13,4,9,13,235
14,2,10,4,130
15,3,11,1,1
16,3,12,2,56
17,3,13,2,34
18,5,14,7,170
19,6,15,10,209
20,5,16,7,180
21,3,11,1,5
22,3,11,1,1
23,7,17,3,99
24,3,11,1,1
25,4,9,13,235
26,1,18,1,2
27,1,18,1,2
28,3,5,5,143
29,3,5,5,143
30,1,18,1,2
31,3,13,2,34
32,3,12,2,56
33,3,19,2,69
34,2,10,4,130
35,3,11,1,1
36,1,18,1,2
37,1,18,1,2
38,1,18,1,2
39,3,20,2,43
40,3,11,1,1
41,4,6,13,237
42,1,18,1,2
43,1,18,1,2
44,3,21,2,36
45,3,5,5,143
46,1,1,1,3
47,1,18,1,2
48,2,22,5,151
49,1,18,1,2
50,2,23,4,131
51,8,24,11,218
52,7,25,3,112
53,1,18,1,2
54,9,26,9,192
55,3,11,1,1
56,3,8,2,63
57,1,18,1,2
58,1,1,1,3
59,1,27,1,10
60,10,28,8,185
61,3,29,2,86
62,2,2,4,128
63,1,1,1,3
64,3,11,1,1
65,2,23,4,131
66,7,17,3,99
67,2,2,4,128
68,5,30,7,171
69,3,11,1,1
70,2,31,4,133
71,1,18,1,2
72,1,32,1,22
73,8,24,11,218
74,10,33,8,187
75,11,34,6,160
76,2,23,4,131
77,6,35,10,214
78,5,36,7,169
79,1,1,1,3
80,2,23,4,131
81,8,24,11,218
82,1,37,1,9
83,10,28,8,186
84,7,25,3,112
85,1,18,1,2
86,3,38,2,54
87,7,39,3,101
88,1,32,1,22
89,1,18,1,2
90,4,9,13,235
91,1,18,1,2
92,3,40,5,147
93,1,18,1,2
94,2,23,4,131
95,1,1,1,3
96,3,41,1,8
97,5,36,7,169
98,7,39,3,101
99,6,15,10,209
100,2,23,4,131
101,1,27,1,10
102,2,10,4,130
103,3,42,2,77
104,3,5,5,144
105,9,43,9,191
106,3,11,1,1
107,3,11,1,1
108,3,11,1,1
109,3,11,1,1
110,3,11,1,1
111,4,6,13,237
112,3,11,1,1
113,3,11,1,1
114,3,44,2,62
