"node_id","top_modificado","final_modificado","top_oficial","final_oficial"
1,1,1,1,3
2,1,1,1,3
3,2,2,3,98
4,3,3,6,170
5,3,4,2,41
6,3,5,2,33
7,3,5,2,33
8,4,6,13,241
9,5,7,8,188
10,3,8,2,63
11,3,4,2,41
12,1,1,1,3
13,4,9,13,239
14,2,10,3,104
15,3,11,1,1
16,3,12,3,102
17,3,13,1,4
18,5,14,4,131
19,6,15,8,187
20,5,16,4,145
21,3,11,1,7
22,3,11,1,1
23,7,17,4,122
24,3,11,1,1
25,4,9,13,239
26,1,18,1,2
27,1,18,1,2
28,3,5,2,33
29,3,5,2,33
30,1,18,1,2
31,3,13,1,4
32,3,12,3,102
33,3,19,1,21
34,2,10,3,104
35,3,11,1,1
36,1,18,1,2
37,1,18,1,2
38,1,18,1,2
39,3,20,2,54
40,3,11,1,1
41,4,6,13,241
42,1,18,1,2
43,1,18,1,2
44,3,21,2,38
45,3,5,2,33
46,1,1,1,3
47,1,18,1,2
48,3,22,2,76
49,1,18,1,2
50,2,23,3,103
51,8,24,9,200
52,7,25,4,144
53,1,18,1,2
54,9,26,10,215
55,3,11,1,1
56,3,8,2,63
57,1,18,1,2
58,1,1,1,3
59,1,27,1,12
60,10,28,7,175
61,3,29,6,173
62,2,2,3,98
63,1,1,1,3
64,3,11,1,1
65,2,23,3,103
66,7,17,4,122
67,2,2,3,98
68,5,30,4,134
69,3,11,1,1
70,2,31,3,106
71,1,18,1,2
72,1,32,1,24
73,8,24,9,200
74,10,33,7,177
75,11,34,5,161
76,2,23,3,103
77,6,35,8,197
78,5,36,2,70
79,1,1,1,3
80,2,23,3,103
81,8,24,9,200
82,1,37,1,11
83,10,28,7,175
84,7,25,4,144
85,1,18,1,2
86,3,38,2,50
87,7,39,4,123
88,1,32,1,24
89,1,18,1,2
90,4,9,13,239
91,1,18,1,2
92,3,40,2,65
93,1,18,1,2
94,2,23,3,103
95,1,1,1,3
96,3,41,1,9
97,5,36,2,70
98,7,39,4,123
99,6,15,8,187
100,2,23,3,103
101,1,27,1,12
102,2,10,3,104
103,3,42,2,82
104,3,5,2,34
105,9,43,10,214
106,3,11,1,1
107,3,11,1,1
108,3,11,1,1
109,3,11,1,1
110,3,11,1,1
111,4,6,13,241
112,3,11,1,1
113,3,11,1,1
114,3,44,2,60
